Opening function raw/Bode - ycd-pmknitrone-1_20200215.raw/_FUNC001, and idx file size is 19514
{"points_from_IDX"=>3382080}
887
For scan 0 it begins at 0 and spans 2581 6X bytes
DB 2F 72 3E 64 FB	12251	64356
C0 52 73 18 88 FB	21184	64392
A1 38 74 F0 AB FB	14497	64427
F2 42 73 CA CF FB	17138	64463
06 20 74 A2 F3 FB	8198	64499
C9 7B 73 7C 17 FC	31689	64535
66 26 74 54 3B FC	9830	64571
8E 70 73 2E 5F FC	28814	64607
FB 62 73 06 83 FC	25339	64643
69 4E 73 E0 A6 FC	20073	64678
E9 55 73 BA CA FC	21993	64714
12 24 72 92 EE FC	9234	64750
A5 71 72 6C 12 FD	29093	64786
C9 3A 72 44 36 FD	15049	64822
00 00 70 1E 5A FD	0	64858
00 00 70 F6 7D FD	0	64893
12 4C 72 D0 A1 FD	19474	64929
6E 3C 72 A8 C5 FD	15470	64965
6E 65 71 82 E9 FD	25966	65001
49 21 72 5A 0D FE	8521	65037
25 69 70 34 31 FE	26917	65073
6E 35 71 0E 55 FE	13678	65109
37 28 72 E6 78 FE	10295	65144
00 29 72 C0 9C FE	10496	65180
00 3E 71 98 C0 FE	15872	65216
F2 25 73 72 E4 FE	9714	65252
49 02 70 4A 08 FF	585	65288
00 00 70 24 2C FF	0	65324
92 5B 72 FC 4F FF	23442	65359
00 32 71 D6 73 FF	12800	65395
FB 2B 73 B0 97 FF	11259	65431
49 36 71 88 BB FF	13897	65467
5B 28 72 62 DF FF	10331	65503
49 7A 80 9E 01 80	31305	32769
6E 03 80 8A 13 80	878	32787
00 00 80 76 25 80	0	32805
12 28 83 64 37 80	10258	32823
5B 30 82 50 49 80	12379	32841
49 2A 80 3C 5B 80	10825	32859
6E 43 81 28 6D 80	17262	32877
DB 56 81 16 7F 80	22235	32895
92 33 82 02 91 80	13202	32913
00 00 80 EE A2 80	0	32930
00 00 80 B4 D8 80	0	32984
45 22 83 A0 EA 80	8773	33002
DB 36 80 8E FC 80	14043	33020
37 3F 82 7A 0E 81	16183	33038
25 51 81 66 20 81	20773	33056
00 00 80 52 32 81	0	33074
6E 73 82 40 44 81	29550	33092
00 00 80 2C 56 81	0	33110
C9 68 82 18 68 81	26825	33128
00 47 82 06 7A 81	18176	33146
25 27 82 F2 8B 81	10021	33163
37 2A 83 DE 9D 81	10807	33181
B7 66 82 CA AF 81	26295	33199
A9 33 83 B8 C1 81	13225	33217
D2 3F 83 A4 D3 81	16338	33235
E5 30 83 90 E5 81	12517	33253
DB 36 82 7C F7 81	14043	33271
8E 48 83 6A 09 82	18574	33289
65 67 83 56 1B 82	26469	33307
5B 39 83 42 2D 82	14683	33325
C0 2F 83 30 3F 82	12224	33343
97 34 83 1C 51 82	13463	33361
49 32 82 08 63 82	12873	33379
25 11 80 F4 74 82	4389	33396
65 70 83 E2 86 82	28773	33414
7B 3D 83 CE 98 82	15739	33432
6E 34 83 BA AA 82	13422	33450
8E 4D 83 A8 BC 82	19854	33468
0E 74 83 94 CE 82	29710	33486
F2 2C 83 80 E0 82	11506	33504
32 29 83 6C F2 82	10546	33522
80 27 83 5A 04 83	10112	33540
20 71 83 46 16 83	28960	33558
A5 58 83 32 28 83	22693	33576
FE 23 84 1E 3A 83	9214	33594
F7 4B 83 0C 4C 83	19447	33612
B2 63 83 F8 5D 83	25522	33629
