<Function 1, scan #0, time 0.0034000000450760126>
00-18-C7-37-88-4E	7E-49-05-EA-38-6E
raw_mcr	raw_count	mcr_multiplier	count_gain
39795	6729	2	1
39813	0	2	1
39831	0	2	1
39849	293	2	1
39867	0	2	1
39957	0	2	1
39975	14117	2	16
39993	293	2	1
40010	0	2	1
40028	0	2	1
40046	9216	2	16
40064	9161	2	16
40082	27063	2	4
40100	0	2	1
40118	0	2	1
40136	26313	2	16
40154	18249	2	16
40172	16219	2	16
40190	19749	2	4
40208	14830	2	16
40226	15634	2	16
40243	11008	2	16
40261	13019	2	16
40279	16238	2	16
40297	8773	2	64
40315	32421	2	16
40333	12123	2	16
40351	8741	2	16
40369	15579	2	16
40387	0	2	1
40405	12910	2	64
40423	21961	2	16
40441	22011	2	64
40459	8805	2	64
40476	10482	2	64
40494	21961	2	16
40512	15310	2	64
40530	13527	2	64
40548	19451	2	64
40566	15575	2	64
40584	15561	2	64
40602	9435	2	64
40620	8999	2	256
40638	8417	2	256
40656	8763	2	256
40674	21151	2	256
40692	22544	2	256
40709	15459	2	256
40727	18563	2	256
40745	9144	2	256
40763	10967	2	256
40781	9745	2	256
40799	8725	2	256
40817	9029	2	64
40835	12023	2	64
40853	18139	2	4
40871	585	2	1
40889	26112	2	4
40907	26423	2	16
